,Close Price,Date
558,28.98,5-9-2002
559,29.610001,6-9-2002
560,29.73,10-9-2002
561,28.85,12-9-2002
562,29.809998999999998,13-9-2002
563,29.67,16-9-2002
564,29.08,17-9-2002
565,29.48,18-9-2002
566,29.5,19-9-2002
567,29.84,20-9-2002
568,30.709999,23-9-2002
569,30.77,24-9-2002
570,30.639999,25-9-2002
571,30.41,26-9-2002
572,30.540001,27-9-2002
573,30.469998999999998,30-9-2002
574,30.83,1-10-2002
575,30.49,2-10-2002
576,29.76,3-10-2002
577,29.620001000000002,4-10-2002
578,29.48,8-10-2002
579,29.35,9-10-2002
580,28.969998999999998,10-10-2002
581,30.030001000000002,14-10-2002
582,29.719998999999998,15-10-2002
583,29.469998999999998,16-10-2002
584,29.620001000000002,17-10-2002
585,29.6,18-10-2002
586,28.379998999999998,21-10-2002
587,27.92,22-10-2002
588,28.18,23-10-2002
589,28.200001,24-10-2002
590,27.049999,25-10-2002
591,27.290001,28-10-2002
592,26.860001,29-10-2002
593,26.809998999999998,30-10-2002
594,27.219998999999998,31-10-2002
595,27.129998999999998,1-11-2002
596,26.950001,4-11-2002
597,26.139999,5-11-2002
598,25.77,6-11-2002
599,25.379998999999998,7-11-2002
600,25.780001000000002,8-11-2002
601,25.940001000000002,11-11-2002
602,25.9,12-11-2002
603,25.190001000000002,13-11-2002
604,25.51,15-11-2002
605,26.709999,18-11-2002
606,26.42,19-11-2002
607,26.98,20-11-2002
608,26.35,21-11-2002
609,26.76,22-11-2002
610,26.110001,25-11-2002
611,26.4,26-11-2002
612,27.24,2-12-2002
613,27.299999,3-12-2002
614,26.73,4-12-2002
615,27.290001,5-12-2002
616,26.93,6-12-2002
617,27.26,9-12-2002
618,27.75,10-12-2002
619,27.92,12-12-2002
620,28.440001000000002,13-12-2002
621,30.1,16-12-2002
622,30.1,17-12-2002
623,30.440001000000002,18-12-2002
624,30.559998999999998,19-12-2002
625,30.299999,20-12-2002
626,31.75,23-12-2002
627,31.969998999999998,24-12-2002
628,32.490002000000004,26-12-2002
629,32.720001,27-12-2002
630,31.370001000000002,30-12-2002
631,31.200001,31-12-2002
632,31.85,2-1-2003
633,33.080002,3-1-2003
634,32.099998,6-1-2003
635,31.08,7-1-2003
636,30.559998999999998,8-1-2003
637,31.99,9-1-2003
638,31.68,10-1-2003
639,32.259997999999996,13-1-2003
640,32.369999,14-1-2003
641,33.200001,15-1-2003
642,33.66,16-1-2003
643,33.91,17-1-2003
644,34.610001000000004,21-1-2003
645,32.849998,22-1-2003
646,32.25,23-1-2003
647,33.279999,24-1-2003
648,32.290001000000004,27-1-2003
649,32.669998,28-1-2003
650,33.630001,29-1-2003
651,33.849998,30-1-2003
652,32.759997999999996,3-2-2003
653,33.580002,4-2-2003
654,33.93,5-2-2003
655,34.16,6-2-2003
656,35.119999,7-2-2003
657,34.48,10-2-2003
658,35.439999,11-2-2003
659,35.77,12-2-2003
660,36.360001000000004,13-2-2003
661,36.799999,14-2-2003
662,36.959998999999996,18-2-2003
663,37.16,19-2-2003
664,36.790001000000004,20-2-2003
665,36.48,24-2-2003
666,36.060001,25-2-2003
667,37.700001,26-2-2003
668,37.200001,27-2-2003
669,36.599998,28-2-2003
670,35.880001,3-3-2003
671,36.889998999999996,4-3-2003
672,36.689999,5-3-2003
673,37.0,6-3-2003
674,37.779999,7-3-2003
675,37.27,10-3-2003
676,36.720001,11-3-2003
677,37.830002,12-3-2003
678,36.009997999999996,13-3-2003
679,35.380001,14-3-2003
680,34.93,17-3-2003
681,31.67,18-3-2003
682,29.879998999999998,19-3-2003
683,26.91,21-3-2003
684,27.969998999999998,25-3-2003
685,28.629998999999998,26-3-2003
686,30.16,28-3-2003
687,31.040001,31-3-2003
688,28.559998999999998,2-4-2003
689,28.969998999999998,3-4-2003
690,28.620001000000002,4-4-2003
691,27.959999,7-4-2003
692,28.0,8-4-2003
693,27.459999,10-4-2003
694,28.139999,11-4-2003
695,28.629998999999998,14-4-2003
696,29.18,16-4-2003
697,30.549999,17-4-2003
698,29.91,22-4-2003
699,26.65,23-4-2003
700,26.26,25-4-2003
701,25.24,29-4-2003
702,25.799999,30-4-2003
703,26.030001000000002,1-5-2003
704,25.67,2-5-2003
705,26.49,5-5-2003
706,25.719998999999998,6-5-2003
707,26.23,7-5-2003
708,26.98,8-5-2003
709,27.35,12-5-2003
710,28.5,13-5-2003
711,29.17,14-5-2003
712,28.74,15-5-2003
713,29.139999,16-5-2003
714,28.83,19-5-2003
715,29.280001000000002,20-5-2003
716,29.030001000000002,21-5-2003
717,28.85,22-5-2003
718,29.16,23-5-2003
719,29.35,27-5-2003
